ipo_date,ticker,company_name,offer_price,Current,first_day_return_pct,scrape_year,underpricing,first_day_close,sector,industry,exchange,risk_factors_path,mda_path,full_text_path
2020-10-02,SEAH,Sports Entertainment Acquisition Corp.,10.0,$8.01,-19.9,2020,-0.1989999999999999,8.01,,,,,,
2020-10-02,VGAC,VG Acquisition Corp.,10.0,$10.99,9.9,2020,0.099,10.99,,,,,,
2020-10-02,VYGG,Vy Global Growth,10.0,$10.05,0.5,2020,0.005,10.05,,,,,,
2020-10-01,AGC,Altimeter Growth Corp.,10.0,$11.01,10.1,2020,0.1009999999999999,11.01,,,,,,
2020-10-01,AVO,"Mission Produce, Inc.",12.0,$14.24,15.25,2020,0.1525,13.830000000000002,,,,data/raw/s1_filings/AVO_2020-10-01_risk_factors.txt,data/raw/s1_filings/AVO_2020-10-01_mda.txt,data/raw/s1_filings/AVO_2020-10-01.txt
2020-10-01,IGAC,IG Acquisition Corp.,10.0,$10.12,1.2,2020,0.012,10.12,,,,,,
2020-10-01,IMPX,AEA-Bridges Impact Corp.,10.0,$9.39,-6.1,2020,-0.061,9.39,,,,,,
2020-10-01,LUNG,Pulmonx Corporation,19.0,$1.28,-93.11,2020,-0.9311,1.3090999999999993,,,,data/raw/s1_filings/LUNG_2020-10-01_risk_factors.txt,data/raw/s1_filings/LUNG_2020-10-01_mda.txt,data/raw/s1_filings/LUNG_2020-10-01.txt
2020-10-01,LXEH,"Lixiang Education Holding Co., Ltd.",9.25,$1.26,-87.03,2020,-0.8703,1.1997250000000004,,,,data/raw/s1_filings/LXEH_2020-10-01_risk_factors.txt,data/raw/s1_filings/LXEH_2020-10-01_mda.txt,data/raw/s1_filings/LXEH_2020-10-01.txt
2020-10-01,RCHG,Recharge Acquisition Corp.,10.0,$10.12,1.2,2020,0.012,10.12,,,,,,
2020-10-01,THRY,"Thryv Holdings, Inc.",10.17,$3.97,-67.36,2020,-0.6736,3.319488,,,,data/raw/s1_filings/THRY_2020-10-01_risk_factors.txt,data/raw/s1_filings/THRY_2020-10-01_mda.txt,data/raw/s1_filings/THRY_2020-10-01.txt
