ticker,first_day_close,underpricing,first_week_return,first_month_return,status
ARRY,36.45000076293945,0.6568182164972479,0.2054869055417137,0.07873796630486872,ok
EBC,10.62460994720459,0.06246099472045898,0.027160654288581762,0.1473254265369598,ok
MNSO,18.363285064697266,-0.08183574676513672,-0.03496149112192487,-0.02011477359480247,ok
MOTN,,,,,no_data
TMTS,,,,,no_data
CDAKQ,,,,,no_data
FVAM,,,,,no_data
IH,13.534110069274902,0.12784250577290854,0.5487501253387317,0.27437502743711517,ok
INTZ,182.1999969482422,21.774999618530273,0.20417122706544086,0.13062570499668402,ok
IPOD,,,,,no_data
IPOE,,,,,no_data
IPOF,,,,,no_data
KRON,,,,,no_data
LCY,,,,,no_data
SPRB,95625.0,6374.0,-0.09529411764705882,0.1288235294117647,ok
STTK,19.350000381469727,0.13823531655704274,0.03359171088971848,0.2124030295595661,ok
ELUT,14.5,-0.14705882352941177,-0.18620688339759564,-0.23517240326980066,ok
FUBO,123.12000274658203,11.312000274658203,0.051656861915831895,0.427875236598289,ok
PAIC,,,,,no_data
EMPW,25.40410041809082,1.540410041809082,0.0,0.0,ok
MAAC,,,,,no_data
NGAC,,,,,no_data
PACE,,,,,no_data
SQFT,33.48066329956055,5.696132659912109,-0.1093481018895936,-0.287826252413335,ok
TPGY,,,,,no_data
FMAC,,,,,no_data
APSG,,,,,no_data
ASAQ,,,,,no_data
ASO,12.54675579071045,-0.03486493917611929,0.02386459278940687,0.16474244477539038,ok
AVAN,,,,,no_data
CCCC,25.489999771118164,0.3415789353220086,-0.1055316029114117,-0.02942330352037896,ok
IACA,,,,,no_data
IMNM,13.449999809265137,0.1208333174387614,0.03397767919912911,-0.18364314513427202,ok
ONCR,,,,,no_data
SEAH,,,,,no_data
VGAC,,,,,no_data
VYGG,,,,,no_data
AGC,,,,,no_data
AVO,12.449999809265137,0.03749998410542806,-0.017670704449737187,0.032128560508644696,ok
IGAC,,,,,no_data
IMPX,,,,,no_data
LUNG,39.310001373291016,1.0689474406995272,0.0969218373312608,0.09234284219293751,ok
LXEH,1500.0,161.16216216216216,-0.05733333333333333,0.2,ok
RCHG,,,,,no_data
THRY,11.074999809265137,0.08898719855114423,0.0037020647329165067,-0.2686229777906255,ok
ASAN,28.799999237060547,0.3714285350981213,-0.08055554709316749,-0.23229162513657742,ok
BQ,1440.0,143.0,-0.1486111111111111,-0.40555555555555556,ok
CD,2.4222218990325928,-0.8205761556272153,0.02293599067280146,0.14220207913059013,ok
CLII,,,,,no_data
FGNA,,,,,no_data
PLTR,9.5,0.3103448275862069,0.05263157894736842,0.06631580152009663,ok
QELL,,,,,no_data
